Eigenvector Count,Signal Matrix Type,Model Matrix Type,MSE
3,M_normalizedIncidence,M_normalizedLaplacianUndirected,0.03817199663210029
3,M_normalizedIncidence,M_leftNormalizedLaplacian,0.047089365401299446
3,M_normalizedIncidence,M_incidence,0.01593858899345967
3,M_normalizedIncidence,M_normalizedIncidence,0.020978525728326203
6,M_shiftDirected,M_shiftDirected,0.04849798534371868
6,M_shiftDirected,M_laplacianDirected,0.07566419068025751
6,M_shiftDirected,M_normalizedLaplacianDirected,0.09435196152646888
6,M_shiftDirected,M_moebius,0.04532053586615102
6,M_shiftDirected,M_moebiusLaplacian,0.08363425629940859
6,M_shiftDirected,M_modifiedMoebius,0.0366651897859576
6,M_shiftDirected,M_shiftUndirected,0.02947324070338417
6,M_shiftDirected,M_laplacianUndirected,0.04853933584579988
6,M_shiftDirected,M_normalizedLaplacianUndirected,0.05204590313489779
6,M_shiftDirected,M_leftNormalizedLaplacian,0.052410105898446795
6,M_shiftDirected,M_incidence,0.02990346458076526
6,M_shiftDirected,M_normalizedIncidence,0.03858611993049823
6,M_laplacianDirected,M_shiftDirected,0.0845666759610288
6,M_laplacianDirected,M_laplacianDirected,0.06342070965637228
6,M_laplacianDirected,M_normalizedLaplacianDirected,0.07801182096019832
6,M_laplacianDirected,M_moebius,0.07378442770769132
6,M_laplacianDirected,M_moebiusLaplacian,0.07654394212295318
6,M_laplacianDirected,M_modifiedMoebius,0.030753720874851814
6,M_laplacianDirected,M_shiftUndirected,0.02751703007884072
6,M_laplacianDirected,M_laplacianUndirected,0.04160060730200663
6,M_laplacianDirected,M_normalizedLaplacianUndirected,0.05276634018257633
6,M_laplacianDirected,M_leftNormalizedLaplacian,0.041639197154125084
6,M_laplacianDirected,M_incidence,0.025392198886978447
6,M_laplacianDirected,M_normalizedIncidence,0.04162829957918632
6,M_normalizedLaplacianDirected,M_shiftDirected,0.044717015388730234
6,M_normalizedLaplacianDirected,M_laplacianDirected,0.07153455777249297
6,M_normalizedLaplacianDirected,M_normalizedLaplacianDirected,0.06719522165465906
6,M_normalizedLaplacianDirected,M_moebius,0.04526365024380756
6,M_normalizedLaplacianDirected,M_moebiusLaplacian,0.08138766745866823
6,M_normalizedLaplacianDirected,M_modifiedMoebius,0.04832236033611104
6,M_normalizedLaplacianDirected,M_shiftUndirected,0.02987789279431856
6,M_normalizedLaplacianDirected,M_laplacianUndirected,0.04175332508985506
6,M_normalizedLaplacianDirected,M_normalizedLaplacianUndirected,0.04594304160204372
6,M_normalizedLaplacianDirected,M_leftNormalizedLaplacian,0.05654235399169441
6,M_normalizedLaplacianDirected,M_incidence,0.027053604830299356
6,M_normalizedLaplacianDirected,M_normalizedIncidence,0.03603023439337334
6,M_moebius,M_shiftDirected,0.0633206099657088
6,M_moebius,M_laplacianDirected,0.06259546112955396
6,M_moebius,M_normalizedLaplacianDirected,0.08258614159547614
6,M_moebius,M_moebius,0.037550219233696905
6,M_moebius,M_moebiusLaplacian,0.062915548827237
6,M_moebius,M_modifiedMoebius,0.023410011113794295
6,M_moebius,M_shiftUndirected,0.028705760495960332
6,M_moebius,M_laplacianUndirected,0.03536403529937137
6,M_moebius,M_normalizedLaplacianUndirected,0.054211213205924896
6,M_moebius,M_leftNormalizedLaplacian,0.06642266301870999
6,M_moebius,M_incidence,0.02370200277700478
6,M_moebius,M_normalizedIncidence,0.025643926158082947
6,M_moebiusLaplacian,M_shiftDirected,0.0549054486513209
