Eigenvector Count,Signal Matrix Type,Model Matrix Type,MSE
6,M_normalizedLaplacianDirected,M_normalizedLaplacianUndirected,0.032052172171999654
6,M_normalizedLaplacianDirected,M_leftNormalizedLaplacian,0.04378693420327163
6,M_normalizedLaplacianDirected,M_incidence,0.06779624685291852
6,M_normalizedLaplacianDirected,M_normalizedIncidence,0.025097191903751204
6,M_moebius,M_shiftDirected,0.06243848509495321
6,M_moebius,M_laplacianDirected,0.08007726659839418
6,M_moebius,M_normalizedLaplacianDirected,0.08410123053496367
6,M_moebius,M_moebius,0.04579472414275615
6,M_moebius,M_moebiusLaplacian,0.08435573988669313
6,M_moebius,M_modifiedMoebius,0.11045163644097067
6,M_moebius,M_shiftUndirected,0.03226011974675689
6,M_moebius,M_laplacianUndirected,0.04334329207419047
6,M_moebius,M_normalizedLaplacianUndirected,0.09702210113118015
6,M_moebius,M_leftNormalizedLaplacian,0.056209027158891894
6,M_moebius,M_incidence,0.03075739802696924
6,M_moebius,M_normalizedIncidence,0.039743252930649585
6,M_moebiusLaplacian,M_shiftDirected,0.07965363846727445
6,M_moebiusLaplacian,M_laplacianDirected,0.07291567792089414
6,M_moebiusLaplacian,M_normalizedLaplacianDirected,0.14650724461758102
6,M_moebiusLaplacian,M_moebius,0.014800043657826637
6,M_moebiusLaplacian,M_moebiusLaplacian,0.07486201466631169
6,M_moebiusLaplacian,M_modifiedMoebius,0.017997633866201897
6,M_moebiusLaplacian,M_shiftUndirected,0.020386101572393334
6,M_moebiusLaplacian,M_laplacianUndirected,0.031119909273919548
6,M_moebiusLaplacian,M_normalizedLaplacianUndirected,0.05976035232521718
6,M_moebiusLaplacian,M_leftNormalizedLaplacian,0.1429263036181335
6,M_moebiusLaplacian,M_incidence,0.03681916089006122
6,M_moebiusLaplacian,M_normalizedIncidence,0.01604724823136324
6,M_modifiedMoebius,M_shiftDirected,0.06591530780279102
6,M_modifiedMoebius,M_laplacianDirected,0.08326096702305016
6,M_modifiedMoebius,M_normalizedLaplacianDirected,0.08410590650580241
6,M_modifiedMoebius,M_moebius,0.03505231240957497
6,M_modifiedMoebius,M_moebiusLaplacian,0.07452434432502796
